zipcode,zone,range,zone_general,range_general
01001,6A,-10 to -5,6,-10 to 0
01002,5B,-15 to -10,5,-20 to -10
01003,5B,-15 to -10,5,-20 to -10
01004,5B,-15 to -10,5,-20 to -10
01005,5B,-15 to -10,5,-20 to -10
01007,5B,-15 to -10,5,-20 to -10
01008,5B,-15 to -10,5,-20 to -10
01009,6A,-10 to -5,6,-10 to 0
01010,5B,-15 to -10,5,-20 to -10
01011,5B,-15 to -10,5,-20 to -10
01012,5B,-15 to -10,5,-20 to -10
01013,6A,-10 to -5,6,-10 to 0
01014,6A,-10 to -5,6,-10 to 0
01020,6A,-10 to -5,6,-10 to 0
01021,6A,-10 to -5,6,-10 to 0
01022,6A,-10 to -5,6,-10 to 0
01026,5B,-15 to -10,5,-20 to -10
01027,6A,-10 to -5,6,-10 to 0
01028,6A,-10 to -5,6,-10 to 0
01029,5B,-15 to -10,5,-20 to -10
01030,6A,-10 to -5,6,-10 to 0
01031,5B,-15 to -10,5,-20 to -10
01032,5B,-15 to -10,5,-20 to -10
01033,6A,-10 to -5,6,-10 to 0
01034,5B,-15 to -10,5,-20 to -10
01035,6A,-10 to -5,6,-10 to 0
01036,6A,-10 to -5,6,-10 to 0
01037,6A,-10 to -5,6,-10 to 0
01038,5B,-15 to -10,5,-20 to -10
01039,5B,-15 to -10,5,-20 to -10
01040,6A,-10 to -5,6,-10 to 0
01041,6A,-10 to -5,6,-10 to 0
01050,5B,-15 to -10,5,-20 to -10
01053,5B,-15 to -10,5,-20 to -10
01054,5B,-15 to -10,5,-20 to -10
01056,6A,-10 to -5,6,-10 to 0
01057,6A,-10 to -5,6,-10 to 0
01059,5B,-15 to -10,5,-20 to -10
01060,6A,-10 to -5,6,-10 to 0
01061,6A,-10 to -5,6,-10 to 0
01062,6A,-10 to -5,6,-10 to 0
01063,6A,-10 to -5,6,-10 to 0
01066,5B,-15 to -10,5,-20 to -10
01068,5B,-15 to -10,5,-20 to -10
01069,6A,-10 to -5,6,-10 to 0
01070,5B,-15 to -10,5,-20 to -10
01071,5B,-15 to -10,5,-20 to -10
01072,5B,-15 to -10,5,-20 to -10
01073,6A,-10 to -5,6,-10 to 0
01074,5B,-15 to -10,5,-20 to -10
01075,6A,-10 to -5,6,-10 to 0
01077,6A,-10 to -5,6,-10 to 0
01079,6A,-10 to -5,6,-10 to 0
01080,6A,-10 to -5,6,-10 to 0
01081,6A,-10 to -5,6,-10 to 0
01082,5B,-15 to -10,5,-20 to -10
01083,5B,-15 to -10,5,-20 to -10
01084,5B,-15 to -10,5,-20 to -10
01085,6A,-10 to -5,6,-10 to 0
01086,6A,-10 to -5,6,-10 to 0
01088,5B,-15 to -10,5,-20 to -10
01089,6A,-10 to -5,6,-10 to 0
01090,6A,-10 to -5,6,-10 to 0
01092,6A,-10 to -5,6,-10 to 0
01093,5B,-15 to -10,5,-20 to -10
01094,5B,-15 to -10,5,-20 to -10
01095,6A,-10 to -5,6,-10 to 0
01096,5B,-15 to -10,5,-20 to -10
01097,5B,-15 to -10,5,-20 to -10
01098,5B,-15 to -10,5,-20 to -10
01101,6A,-10 to -5,6,-10 to 0
01102,6A,-10 to -5,6,-10 to 0
01103,6A,-10 to -5,6,-10 to 0
01104,6A,-10 to -5,6,-10 to 0
01105,6A,-10 to -5,6,-10 to 0
01106,6A,-10 to -5,6,-10 to 0
01107,6A,-10 to -5,6,-10 to 0
01108,6A,-10 to -5,6,-10 to 0
01109,6A,-10 to -5,6,-10 to 0
01111,6A,-10 to -5,6,-10 to 0
01115,6A,-10 to -5,6,-10 to 0
01116,6A,-10 to -5,6,-10 to 0
01118,6A,-10 to -5,6,-10 to 0
01119,6A,-10 to -5,6,-10 to 0
01128,6A,-10 to -5,6,-10 to 0
01129,6A,-10 to -5,6,-10 to 0
01138,6A,-10 to -5,6,-10 to 0
01139,6A,-10 to -5,6,-10 to 0
01144,6A,-10 to -5,6,-10 to 0
01151,6A,-10 to -5,6,-10 to 0
01152,6A,-10 to -5,6,-10 to 0
01199,6A,-10 to -5,6,-10 to 0
01201,5B,-15 to -10,5,-20 to -10
01202,5B,-15 to -10,5,-20 to -10
01203,5B,-15 to -10,5,-20 to -10
01220,5B,-15 to -10,5,-20 to -10
01222,5B,-15 to -10,5,-20 to -10
01223,5B,-15 to -10,5,-20 to -10
01224,5A,-20 to -15,5,-20 to -10
01225,5A,-20 to -15,5,-20 to -10
01226,5A,-20 to -15,5,-20 to -10
01227,5A,-20 to -15,5,-20 to -10
01229,5B,-15 to -10,5,-20 to -10
01230,5B,-15 to -10,5,-20 to -10
01235,5B,-15 to -10,5,-20 to -10
01236,5B,-15 to -10,5,-20 to -10
01237,5A,-20 to -15,5,-20 to -10
01238,5B,-15 to -10,5,-20 to -10
01240,5B,-15 to -10,5,-20 to -10
01242,5B,-15 to -10,5,-20 to -10
01243,5B,-15 to -10,5,-20 to -10
01244,5B,-15 to -10,5,-20 to -10
01245,5B,-15 to -10,5,-20 to -10
01247,5B,-15 to -10,5,-20 to -10
01252,5B,-15 to -10,5,-20 to -10
01253,5B,-15 to -10,5,-20 to -10
01254,5B,-15 to -10,5,-20 to -10
01255,5B,-15 to -10,5,-20 to -10
01256,5A,-20 to -15,5,-20 to -10
01257,5B,-15 to -10,5,-20 to -10
01258,5B,-15 to -10,5,-20 to -10
01259,5B,-15 to -10,5,-20 to -10
01260,5B,-15 to -10,5,-20 to -10
01262,5B,-15 to -10,5,-20 to -10
01263,5B,-15 to -10,5,-20 to -10
01264,5B,-15 to -10,5,-20 to -10
01266,5B,-15 to -10,5,-20 to -10
01267,5B,-15 to -10,5,-20 to -10
01270,5A,-20 to -15,5,-20 to -10
01301,5B,-15 to -10,5,-20 to -10
01302,5B,-15 to -10,5,-20 to -10
01330,5B,-15 to -10,5,-20 to -10
01331,5B,-15 to -10,5,-20 to -10
01337,5B,-15 to -10,5,-20 to -10
01338,5B,-15 to -10,5,-20 to -10
01339,5B,-15 to -10,5,-20 to -10
01340,5B,-15 to -10,5,-20 to -10
01341,5B,-15 to -10,5,-20 to -10
01342,5B,-15 to -10,5,-20 to -10
01343,5B,-15 to -10,5,-20 to -10
01344,5B,-15 to -10,5,-20 to -10
01346,5A,-20 to -15,5,-20 to -10
01347,5B,-15 to -10,5,-20 to -10
01349,5B,-15 to -10,5,-20 to -10
01350,5B,-15 to -10,5,-20 to -10
01351,5B,-15 to -10,5,-20 to -10
01354,5B,-15 to -10,5,-20 to -10
01355,5B,-15 to -10,5,-20 to -10
01360,5B,-15 to -10,5,-20 to -10
01364,5B,-15 to -10,5,-20 to -10
01366,5B,-15 to -10,5,-20 to -10
01367,5B,-15 to -10,5,-20 to -10
01368,5B,-15 to -10,5,-20 to -10
01370,5B,-15 to -10,5,-20 to -10
01373,6A,-10 to -5,6,-10 to 0
01375,5B,-15 to -10,5,-20 to -10
01376,5B,-15 to -10,5,-20 to -10
01378,5B,-15 to -10,5,-20 to -10
01379,5B,-15 to -10,5,-20 to -10
01380,5B,-15 to -10,5,-20 to -10
01420,5B,-15 to -10,5,-20 to -10
01430,5B,-15 to -10,5,-20 to -10
01431,5B,-15 to -10,5,-20 to -10
01432,6A,-10 to -5,6,-10 to 0
01434,5B,-15 to -10,5,-20 to -10
01436,5A,-20 to -15,5,-20 to -10
01438,5B,-15 to -10,5,-20 to -10
01440,5B,-15 to -10,5,-20 to -10
01441,5B,-15 to -10,5,-20 to -10
01450,5B,-15 to -10,5,-20 to -10
01451,6A,-10 to -5,6,-10 to 0
01452,5B,-15 to -10,5,-20 to -10
01453,5B,-15 to -10,5,-20 to -10
01460,6A,-10 to -5,6,-10 to 0
01462,5B,-15 to -10,5,-20 to -10
01463,5B,-15 to -10,5,-20 to -10
01464,6A,-10 to -5,6,-10 to 0
01467,6A,-10 to -5,6,-10 to 0
01468,5B,-15 to -10,5,-20 to -10
01469,5B,-15 to -10,5,-20 to -10
01470,5B,-15 to -10,5,-20 to -10
01471,5B,-15 to -10,5,-20 to -10
01472,5B,-15 to -10,5,-20 to -10
01473,5B,-15 to -10,5,-20 to -10
01474,5B,-15 to -10,5,-20 to -10
01475,5B,-15 to -10,5,-20 to -10
01501,5B,-15 to -10,5,-20 to -10
01503,6A,-10 to -5,6,-10 to 0
01504,6A,-10 to -5,6,-10 to 0
01505,6A,-10 to -5,6,-10 to 0
01506,5B,-15 to -10,5,-20 to -10
01507,6A,-10 to -5,6,-10 to 0
01508,6A,-10 to -5,6,-10 to 0
01509,6A,-10 to -5,6,-10 to 0
01510,6A,-10 to -5,6,-10 to 0
01515,5B,-15 to -10,5,-20 to -10
01516,6A,-10 to -5,6,-10 to 0
01518,5B,-15 to -10,5,-20 to -10
01519,6A,-10 to -5,6,-10 to 0
01520,6A,-10 to -5,6,-10 to 0
01521,6A,-10 to -5,6,-10 to 0
01522,6A,-10 to -5,6,-10 to 0
01523,6A,-10 to -5,6,-10 to 0
01524,6A,-10 to -5,6,-10 to 0
01525,6A,-10 to -5,6,-10 to 0
01526,5B,-15 to -10,5,-20 to -10
01527,5B,-15 to -10,5,-20 to -10
01529,6A,-10 to -5,6,-10 to 0
01531,5B,-15 to -10,5,-20 to -10
01532,6A,-10 to -5,6,-10 to 0
01534,6A,-10 to -5,6,-10 to 0
01535,6A,-10 to -5,6,-10 to 0
01536,6A,-10 to -5,6,-10 to 0
01537,5B,-15 to -10,5,-20 to -10
01538,6A,-10 to -5,6,-10 to 0
01540,5B,-15 to -10,5,-20 to -10
01541,6A,-10 to -5,6,-10 to 0
01542,6A,-10 to -5,6,-10 to 0
01543,6A,-10 to -5,6,-10 to 0
01545,6A,-10 to -5,6,-10 to 0
01546,6A,-10 to -5,6,-10 to 0
01550,6A,-10 to -5,6,-10 to 0
01560,6A,-10 to -5,6,-10 to 0
01561,6A,-10 to -5,6,-10 to 0
01562,5B,-15 to -10,5,-20 to -10
01564,5B,-15 to -10,5,-20 to -10
01566,6A,-10 to -5,6,-10 to 0
01568,6A,-10 to -5,6,-10 to 0
01569,6A,-10 to -5,6,-10 to 0
01570,6A,-10 to -5,6,-10 to 0
01571,6A,-10 to -5,6,-10 to 0
01581,6A,-10 to -5,6,-10 to 0
01583,6A,-10 to -5,6,-10 to 0
01585,5B,-15 to -10,5,-20 to -10
01586,5B,-15 to -10,5,-20 to -10
01588,6A,-10 to -5,6,-10 to 0
01590,6A,-10 to -5,6,-10 to 0
01601,5B,-15 to -10,5,-20 to -10
01602,5B,-15 to -10,5,-20 to -10
01603,5B,-15 to -10,5,-20 to -10
01604,6A,-10 to -5,6,-10 to 0
01605,6A,-10 to -5,6,-10 to 0
01606,6A,-10 to -5,6,-10 to 0
01607,5B,-15 to -10,5,-20 to -10
01608,5B,-15 to -10,5,-20 to -10
01609,6A,-10 to -5,6,-10 to 0
01610,5B,-15 to -10,5,-20 to -10
01611,6A,-10 to -5,6,-10 to 0
01612,6A,-10 to -5,6,-10 to 0
01613,5B,-15 to -10,5,-20 to -10
01614,5B,-15 to -10,5,-20 to -10
01615,5B,-15 to -10,5,-20 to -10
01653,6A,-10 to -5,6,-10 to 0
01655,6A,-10 to -5,6,-10 to 0
01701,6A,-10 to -5,6,-10 to 0
01702,6A,-10 to -5,6,-10 to 0
01703,6A,-10 to -5,6,-10 to 0
01704,6A,-10 to -5,6,-10 to 0
01705,6A,-10 to -5,6,-10 to 0
01718,6A,-10 to -5,6,-10 to 0
01719,6A,-10 to -5,6,-10 to 0
01720,6A,-10 to -5,6,-10 to 0
01721,6A,-10 to -5,6,-10 to 0
01730,6A,-10 to -5,6,-10 to 0
01731,6A,-10 to -5,6,-10 to 0
01740,6A,-10 to -5,6,-10 to 0
01741,6A,-10 to -5,6,-10 to 0
01742,6A,-10 to -5,6,-10 to 0
01745,6A,-10 to -5,6,-10 to 0
01746,6A,-10 to -5,6,-10 to 0
01747,6A,-10 to -5,6,-10 to 0
01748,6A,-10 to -5,6,-10 to 0
01749,6A,-10 to -5,6,-10 to 0
01752,6A,-10 to -5,6,-10 to 0
01754,6A,-10 to -5,6,-10 to 0
01756,6A,-10 to -5,6,-10 to 0
01757,6A,-10 to -5,6,-10 to 0
01760,6A,-10 to -5,6,-10 to 0
01770,6A,-10 to -5,6,-10 to 0
01772,6A,-10 to -5,6,-10 to 0
01773,6A,-10 to -5,6,-10 to 0
01775,6A,-10 to -5,6,-10 to 0
01776,6A,-10 to -5,6,-10 to 0
01778,6A,-10 to -5,6,-10 to 0
01784,6A,-10 to -5,6,-10 to 0
01801,6A,-10 to -5,6,-10 to 0
01803,6A,-10 to -5,6,-10 to 0
01805,6A,-10 to -5,6,-10 to 0
01810,6A,-10 to -5,6,-10 to 0
01812,6A,-10 to -5,6,-10 to 0
01813,6A,-10 to -5,6,-10 to 0
01815,6A,-10 to -5,6,-10 to 0
01821,6A,-10 to -5,6,-10 to 0
01822,6A,-10 to -5,6,-10 to 0
01824,6A,-10 to -5,6,-10 to 0
01826,6A,-10 to -5,6,-10 to 0
01827,5B,-15 to -10,5,-20 to -10
01830,6A,-10 to -5,6,-10 to 0
01831,6A,-10 to -5,6,-10 to 0
01832,6A,-10 to -5,6,-10 to 0
01833,6A,-10 to -5,6,-10 to 0
01834,6A,-10 to -5,6,-10 to 0
01835,6A,-10 to -5,6,-10 to 0
01840,6A,-10 to -5,6,-10 to 0
01841,6A,-10 to -5,6,-10 to 0
01842,6A,-10 to -5,6,-10 to 0
01843,6A,-10 to -5,6,-10 to 0
01844,6A,-10 to -5,6,-10 to 0
01845,6A,-10 to -5,6,-10 to 0
01850,6A,-10 to -5,6,-10 to 0
01851,6A,-10 to -5,6,-10 to 0
01852,6A,-10 to -5,6,-10 to 0
01853,6A,-10 to -5,6,-10 to 0
01854,6A,-10 to -5,6,-10 to 0
01860,6A,-10 to -5,6,-10 to 0
01862,6A,-10 to -5,6,-10 to 0
01863,6A,-10 to -5,6,-10 to 0
01864,6A,-10 to -5,6,-10 to 0
01865,6A,-10 to -5,6,-10 to 0
01866,6A,-10 to -5,6,-10 to 0
01867,6A,-10 to -5,6,-10 to 0
01876,6A,-10 to -5,6,-10 to 0
01879,6A,-10 to -5,6,-10 to 0
01880,6B,-5 to 0,6,-10 to 0
01885,6A,-10 to -5,6,-10 to 0
01886,6A,-10 to -5,6,-10 to 0
01887,6A,-10 to -5,6,-10 to 0
01888,6A,-10 to -5,6,-10 to 0
01889,6A,-10 to -5,6,-10 to 0
01890,6B,-5 to 0,6,-10 to 0
01899,6A,-10 to -5,6,-10 to 0
01901,6B,-5 to 0,6,-10 to 0
01902,6B,-5 to 0,6,-10 to 0
01903,6B,-5 to 0,6,-10 to 0
01904,6B,-5 to 0,6,-10 to 0
01905,6B,-5 to 0,6,-10 to 0
01906,6B,-5 to 0,6,-10 to 0
01907,6B,-5 to 0,6,-10 to 0
01908,6B,-5 to 0,6,-10 to 0
01910,6B,-5 to 0,6,-10 to 0
01913,6A,-10 to -5,6,-10 to 0
01915,6B,-5 to 0,6,-10 to 0
01921,6A,-10 to -5,6,-10 to 0
01922,6A,-10 to -5,6,-10 to 0
01923,6B,-5 to 0,6,-10 to 0
01929,6B,-5 to 0,6,-10 to 0
01930,6B,-5 to 0,6,-10 to 0
01931,6B,-5 to 0,6,-10 to 0
01936,6B,-5 to 0,6,-10 to 0
01937,6B,-5 to 0,6,-10 to 0
01938,6B,-5 to 0,6,-10 to 0
01940,6B,-5 to 0,6,-10 to 0
01944,6B,-5 to 0,6,-10 to 0
01945,6B,-5 to 0,6,-10 to 0
01949,6A,-10 to -5,6,-10 to 0
01950,6B,-5 to 0,6,-10 to 0
01951,6B,-5 to 0,6,-10 to 0
01952,6A,-10 to -5,6,-10 to 0
01960,6B,-5 to 0,6,-10 to 0
01961,6B,-5 to 0,6,-10 to 0
01965,6B,-5 to 0,6,-10 to 0
01966,6B,-5 to 0,6,-10 to 0
01969,6B,-5 to 0,6,-10 to 0
01970,6B,-5 to 0,6,-10 to 0
01971,6B,-5 to 0,6,-10 to 0
01982,6B,-5 to 0,6,-10 to 0
01983,6A,-10 to -5,6,-10 to 0
01984,6B,-5 to 0,6,-10 to 0
01985,6A,-10 to -5,6,-10 to 0
02018,6B,-5 to 0,6,-10 to 0
02019,6A,-10 to -5,6,-10 to 0
02020,6B,-5 to 0,6,-10 to 0
02021,6B,-5 to 0,6,-10 to 0
02025,6B,-5 to 0,6,-10 to 0
02026,6B,-5 to 0,6,-10 to 0
02027,6B,-5 to 0,6,-10 to 0
02030,6B,-5 to 0,6,-10 to 0
02032,6B,-5 to 0,6,-10 to 0
02035,6A,-10 to -5,6,-10 to 0
02038,6A,-10 to -5,6,-10 to 0
02040,6B,-5 to 0,6,-10 to 0
02041,6B,-5 to 0,6,-10 to 0
02043,6B,-5 to 0,6,-10 to 0
02044,6B,-5 to 0,6,-10 to 0
02045,6B,-5 to 0,6,-10 to 0
02047,6B,-5 to 0,6,-10 to 0
02048,6A,-10 to -5,6,-10 to 0
02050,6B,-5 to 0,6,-10 to 0
02051,6B,-5 to 0,6,-10 to 0
02052,6A,-10 to -5,6,-10 to 0
02053,6A,-10 to -5,6,-10 to 0
02054,6A,-10 to -5,6,-10 to 0
02055,6B,-5 to 0,6,-10 to 0
02056,6A,-10 to -5,6,-10 to 0
02059,6B,-5 to 0,6,-10 to 0
02060,6B,-5 to 0,6,-10 to 0
02061,6B,-5 to 0,6,-10 to 0
02062,6B,-5 to 0,6,-10 to 0
02065,6B,-5 to 0,6,-10 to 0
02066,6B,-5 to 0,6,-10 to 0
02067,6B,-5 to 0,6,-10 to 0
02070,6A,-10 to -5,6,-10 to 0
02071,6A,-10 to -5,6,-10 to 0
02072,6B,-5 to 0,6,-10 to 0
02081,6A,-10 to -5,6,-10 to 0
02090,6B,-5 to 0,6,-10 to 0
02093,6A,-10 to -5,6,-10 to 0
02108,6B,-5 to 0,6,-10 to 0
02109,6B,-5 to 0,6,-10 to 0
02110,7A,0 to 5,7,0 to 10
02111,6B,-5 to 0,6,-10 to 0
02112,6B,-5 to 0,6,-10 to 0
02113,6B,-5 to 0,6,-10 to 0
02114,6B,-5 to 0,6,-10 to 0
02115,6B,-5 to 0,6,-10 to 0
02116,6B,-5 to 0,6,-10 to 0
02117,6B,-5 to 0,6,-10 to 0
02118,6B,-5 to 0,6,-10 to 0
02119,6B,-5 to 0,6,-10 to 0
02120,6B,-5 to 0,6,-10 to 0
02121,6B,-5 to 0,6,-10 to 0
02122,6B,-5 to 0,6,-10 to 0
02123,6B,-5 to 0,6,-10 to 0
02124,6B,-5 to 0,6,-10 to 0
02125,6B,-5 to 0,6,-10 to 0
02126,6B,-5 to 0,6,-10 to 0
02127,7A,0 to 5,7,0 to 10
02128,7A,0 to 5,7,0 to 10
02129,6B,-5 to 0,6,-10 to 0
02130,6B,-5 to 0,6,-10 to 0
02131,6B,-5 to 0,6,-10 to 0
02132,6B,-5 to 0,6,-10 to 0
02133,6B,-5 to 0,6,-10 to 0
02134,6B,-5 to 0,6,-10 to 0
02135,6B,-5 to 0,6,-10 to 0
02136,6B,-5 to 0,6,-10 to 0
02137,6B,-5 to 0,6,-10 to 0
02138,6B,-5 to 0,6,-10 to 0
02139,6B,-5 to 0,6,-10 to 0
02140,6B,-5 to 0,6,-10 to 0
02141,6B,-5 to 0,6,-10 to 0
02142,6B,-5 to 0,6,-10 to 0
02143,6B,-5 to 0,6,-10 to 0
02144,6B,-5 to 0,6,-10 to 0
02145,6B,-5 to 0,6,-10 to 0
02148,6B,-5 to 0,6,-10 to 0
02149,6B,-5 to 0,6,-10 to 0
02150,6B,-5 to 0,6,-10 to 0
02151,6B,-5 to 0,6,-10 to 0
02152,7A,0 to 5,7,0 to 10
02153,6B,-5 to 0,6,-10 to 0
02155,6B,-5 to 0,6,-10 to 0
02156,6B,-5 to 0,6,-10 to 0
02163,6B,-5 to 0,6,-10 to 0
02169,6B,-5 to 0,6,-10 to 0
02170,6B,-5 to 0,6,-10 to 0
02171,6B,-5 to 0,6,-10 to 0
02176,6B,-5 to 0,6,-10 to 0
02180,6B,-5 to 0,6,-10 to 0
02184,6B,-5 to 0,6,-10 to 0
02185,6B,-5 to 0,6,-10 to 0
02186,6B,-5 to 0,6,-10 to 0
02187,6B,-5 to 0,6,-10 to 0
02188,6B,-5 to 0,6,-10 to 0
02189,6B,-5 to 0,6,-10 to 0
02190,6B,-5 to 0,6,-10 to 0
02191,6B,-5 to 0,6,-10 to 0
02196,6B,-5 to 0,6,-10 to 0
02199,6B,-5 to 0,6,-10 to 0
02201,6B,-5 to 0,6,-10 to 0
02203,6B,-5 to 0,6,-10 to 0
02204,6B,-5 to 0,6,-10 to 0
02205,6B,-5 to 0,6,-10 to 0
02206,7A,0 to 5,7,0 to 10
02210,7A,0 to 5,7,0 to 10
02211,6B,-5 to 0,6,-10 to 0
02212,6B,-5 to 0,6,-10 to 0
02215,6B,-5 to 0,6,-10 to 0
02217,6B,-5 to 0,6,-10 to 0
02222,6B,-5 to 0,6,-10 to 0
02238,6B,-5 to 0,6,-10 to 0
02241,6B,-5 to 0,6,-10 to 0
02266,6B,-5 to 0,6,-10 to 0
02269,6B,-5 to 0,6,-10 to 0
02283,7A,0 to 5,7,0 to 10
02284,7A,0 to 5,7,0 to 10
02293,6B,-5 to 0,6,-10 to 0
02297,6B,-5 to 0,6,-10 to 0
02298,7A,0 to 5,7,0 to 10
02301,6B,-5 to 0,6,-10 to 0
02302,6B,-5 to 0,6,-10 to 0
02303,6B,-5 to 0,6,-10 to 0
02304,6B,-5 to 0,6,-10 to 0
02305,6B,-5 to 0,6,-10 to 0
02322,6B,-5 to 0,6,-10 to 0
02324,6B,-5 to 0,6,-10 to 0
02325,6B,-5 to 0,6,-10 to 0
02327,6B,-5 to 0,6,-10 to 0
02330,6B,-5 to 0,6,-10 to 0
02331,6B,-5 to 0,6,-10 to 0
02332,6B,-5 to 0,6,-10 to 0
02333,6B,-5 to 0,6,-10 to 0
02334,6B,-5 to 0,6,-10 to 0
02337,6B,-5 to 0,6,-10 to 0
02338,6B,-5 to 0,6,-10 to 0
02339,6B,-5 to 0,6,-10 to 0
02340,6B,-5 to 0,6,-10 to 0
02341,6B,-5 to 0,6,-10 to 0
02343,6B,-5 to 0,6,-10 to 0
02344,6B,-5 to 0,6,-10 to 0
02345,6B,-5 to 0,6,-10 to 0
02346,6B,-5 to 0,6,-10 to 0
02347,6B,-5 to 0,6,-10 to 0
02348,6B,-5 to 0,6,-10 to 0
02349,6B,-5 to 0,6,-10 to 0
02350,6B,-5 to 0,6,-10 to 0
02351,6B,-5 to 0,6,-10 to 0
02355,6B,-5 to 0,6,-10 to 0
02356,6B,-5 to 0,6,-10 to 0
02357,6B,-5 to 0,6,-10 to 0
02358,6B,-5 to 0,6,-10 to 0
02359,6B,-5 to 0,6,-10 to 0
02360,6B,-5 to 0,6,-10 to 0
02361,6B,-5 to 0,6,-10 to 0
02362,6B,-5 to 0,6,-10 to 0
02364,6B,-5 to 0,6,-10 to 0
02366,6B,-5 to 0,6,-10 to 0
02367,6B,-5 to 0,6,-10 to 0
02368,6B,-5 to 0,6,-10 to 0
02370,6B,-5 to 0,6,-10 to 0
02375,6B,-5 to 0,6,-10 to 0
02379,6B,-5 to 0,6,-10 to 0
02381,6B,-5 to 0,6,-10 to 0
02382,6B,-5 to 0,6,-10 to 0
02420,6A,-10 to -5,6,-10 to 0
02421,6A,-10 to -5,6,-10 to 0
02445,6B,-5 to 0,6,-10 to 0
02446,6B,-5 to 0,6,-10 to 0
02447,6B,-5 to 0,6,-10 to 0
02451,6A,-10 to -5,6,-10 to 0
02452,6B,-5 to 0,6,-10 to 0
02453,6B,-5 to 0,6,-10 to 0
02454,6B,-5 to 0,6,-10 to 0
02455,6A,-10 to -5,6,-10 to 0
02456,6B,-5 to 0,6,-10 to 0
02457,6B,-5 to 0,6,-10 to 0
02458,6B,-5 to 0,6,-10 to 0
02459,6B,-5 to 0,6,-10 to 0
02460,6B,-5 to 0,6,-10 to 0
02461,6B,-5 to 0,6,-10 to 0
02462,6B,-5 to 0,6,-10 to 0
02464,6B,-5 to 0,6,-10 to 0
02465,6B,-5 to 0,6,-10 to 0
02466,6B,-5 to 0,6,-10 to 0
02467,6B,-5 to 0,6,-10 to 0
02468,6B,-5 to 0,6,-10 to 0
02471,6B,-5 to 0,6,-10 to 0
02472,6B,-5 to 0,6,-10 to 0
02474,6B,-5 to 0,6,-10 to 0
02475,6B,-5 to 0,6,-10 to 0
02476,6B,-5 to 0,6,-10 to 0
02477,6B,-5 to 0,6,-10 to 0
02478,6B,-5 to 0,6,-10 to 0
02479,6B,-5 to 0,6,-10 to 0
02481,6B,-5 to 0,6,-10 to 0
02482,6A,-10 to -5,6,-10 to 0
02492,6B,-5 to 0,6,-10 to 0
02493,6A,-10 to -5,6,-10 to 0
02494,6B,-5 to 0,6,-10 to 0
02495,6B,-5 to 0,6,-10 to 0
02532,6B,-5 to 0,6,-10 to 0
02534,7A,0 to 5,7,0 to 10
02535,7A,0 to 5,7,0 to 10
02536,7A,0 to 5,7,0 to 10
02537,7A,0 to 5,7,0 to 10
02538,6B,-5 to 0,6,-10 to 0
02539,7A,0 to 5,7,0 to 10
02540,7A,0 to 5,7,0 to 10
02541,7A,0 to 5,7,0 to 10
02542,7A,0 to 5,7,0 to 10
02543,7A,0 to 5,7,0 to 10
02552,7A,0 to 5,7,0 to 10
02553,6B,-5 to 0,6,-10 to 0
02554,7B,5 to 10,7,0 to 10
02556,7A,0 to 5,7,0 to 10
02557,7A,0 to 5,7,0 to 10
02558,6B,-5 to 0,6,-10 to 0
02559,6B,-5 to 0,6,-10 to 0
02561,6B,-5 to 0,6,-10 to 0
02562,6B,-5 to 0,6,-10 to 0
02563,6B,-5 to 0,6,-10 to 0
02564,7A,0 to 5,7,0 to 10
02568,7A,0 to 5,7,0 to 10
02571,6B,-5 to 0,6,-10 to 0
02574,7A,0 to 5,7,0 to 10
02575,7A,0 to 5,7,0 to 10
02576,6B,-5 to 0,6,-10 to 0
02584,7A,0 to 5,7,0 to 10
02601,7A,0 to 5,7,0 to 10
02630,7A,0 to 5,7,0 to 10
02631,7A,0 to 5,7,0 to 10
02632,7A,0 to 5,7,0 to 10
02633,7A,0 to 5,7,0 to 10
02634,7A,0 to 5,7,0 to 10
02635,7A,0 to 5,7,0 to 10
02637,7A,0 to 5,7,0 to 10
02638,7A,0 to 5,7,0 to 10
02639,7A,0 to 5,7,0 to 10
02641,7A,0 to 5,7,0 to 10
02642,7A,0 to 5,7,0 to 10
02643,7A,0 to 5,7,0 to 10
02644,6B,-5 to 0,6,-10 to 0
02645,7A,0 to 5,7,0 to 10
02646,7A,0 to 5,7,0 to 10
02647,7A,0 to 5,7,0 to 10
02648,7A,0 to 5,7,0 to 10
02649,7A,0 to 5,7,0 to 10
02650,7B,5 to 10,7,0 to 10
02651,7A,0 to 5,7,0 to 10
02652,7A,0 to 5,7,0 to 10
02653,7A,0 to 5,7,0 to 10
02655,7A,0 to 5,7,0 to 10
02657,7A,0 to 5,7,0 to 10
02659,7A,0 to 5,7,0 to 10
02660,7A,0 to 5,7,0 to 10
02661,7A,0 to 5,7,0 to 10
02662,7A,0 to 5,7,0 to 10
02663,7A,0 to 5,7,0 to 10
02664,7A,0 to 5,7,0 to 10
02666,7A,0 to 5,7,0 to 10
02667,7A,0 to 5,7,0 to 10
02668,7A,0 to 5,7,0 to 10
02669,7A,0 to 5,7,0 to 10
02670,7A,0 to 5,7,0 to 10
02671,7A,0 to 5,7,0 to 10
02672,7A,0 to 5,7,0 to 10
02673,7A,0 to 5,7,0 to 10
02675,7A,0 to 5,7,0 to 10
02702,6B,-5 to 0,6,-10 to 0
02703,6B,-5 to 0,6,-10 to 0
02712,6B,-5 to 0,6,-10 to 0
